,Job Title,Company Name,Location,Sector,City,State
179,"Data Analyst, Bitcoin Trading Firm",Fintech Recruiters,"New York, NY",-1,New York,New York
180,"VP, Data Scientist","Spot.IM
4.5","New York, NY",Information Technology,New York,New York
181,Senior Data Engineer,"Tapad
4.2","New York, NY",Information Technology,New York,New York
182,Data Scientist,Amber People,"New York, NY",-1,New York,New York
183,Senior Data Scientist,"Thrasio
5.0","New York, NY",Retail,New York,New York
184,Deployed Data Scientist,ConcertAI,"New York, NY",-1,New York,New York
185,Data Scientist,CompuForce,"New York, NY",-1,New York,New York
186,"Senior / Data Scientist, Advertising Business","Spotify
3.8","New York, NY",Information Technology,New York,New York
187,Data Scientist,Wisestep,"Queens Village, NY",-1,Queens Village,New York
188,"Data Scientist, Voter Data",Hawkfish,"New York, NY",-1,New York,New York
189,Data Science Analyst/Engineer,"NYU Langone Health
4.1","New York, NY",Health Care,New York,New York
190,Data Scientist - Disney Streaming Services,"Disney Streaming Services
3.6","New York, NY",Information Technology,New York,New York
191,Data Scientist,HireAi,"New York, NY",-1,New York,New York
192,Data Analyst,"Vettery
3.1","New York, NY",Information Technology,New York,New York
193,Data Scientist,"TEKREQS, Inc.
1.0","New York, NY",-1,New York,New York
194,"Manager, Data Scientist Recommendations","Tapestry
3.4","New York, NY",Retail,New York,New York
195,Lead Data Scientist,"eBay
3.6","New York, NY",Information Technology,New York,New York
196,Senior Data Scientist,"Bowery Farming
4.6","New York, NY",Agriculture & Forestry,New York,New York
197,Principal Data Scientist,"Slice (NY)
4.0","New York, NY",Information Technology,New York,New York
198,Scientist Data Analytics,"TEEMA
4.7","New York, NY",Business Services,New York,New York
199,Data Engineer,"Mark43
4.4","New York, NY",Information Technology,New York,New York
200,Hiring Data Scientist/AI/ML,"Comtech Global Inc
4.0","New York, NY",Consumer Services,New York,New York
201,Data Analyst,"MediaMath
3.6","New York, NY",Business Services,New York,New York
202,Lead Data Scientist,"Rockstar Games
4.1","New York, NY",Media,New York,New York
203,Machine Learning Engineer,"Temboo
3.9","New York, NY",Information Technology,New York,New York
204,Data Scientist,"Management Decisions, Inc.
1.6","New York, NY",Business Services,New York,New York
205,Sr. Data Scientist II,"Argo Group US
3.5","New York, NY",Insurance,New York,New York
206,Senior Data Scientist - R&D Oncology,"AstraZeneca
4.0","New York, NY",Biotech & Pharmaceuticals,New York,New York
207,Data Science and Analytics,"Two95 International Inc.
4.0","New York, NY",Business Services,New York,New York
208,Data Analyst,"FINRA
3.5","New York, NY",Finance,New York,New York
209,Data Scientist,"Prolancer
5.0","New York, NY",-1,New York,New York
210,Data Scientist Product Manager,"Thrasio
5.0","New York, NY",Retail,New York,New York
211,"Senior Data Scientist, Real World Evidence","Flatiron Health
4.0","New York, NY",Information Technology,New York,New York
212,Data Scientist/Python Developer,"EDP World, Inc.
3.5","New York, NY",Business Services,New York,New York
213,"Software Engineer - Data Engineering, Finance Products","Squarespace
3.4","New York, NY",Information Technology,New York,New York
214,Senior Data Scientist,"TRANZACT
3.6","Fort Lee, NJ",Business Services,Fort Lee,New Jersey
215,Intern- Martech & Data Consulting,"Havas Worldwide
3.2","New York, NY",Business Services,New York,New York
216,Data Engineer,"B12
4.7","New York, NY",Information Technology,New York,New York
217,Data Scientist,Simatree,"Middletown, NJ",Business Services,Middletown,New Jersey
218,Senior Data Scientist,"Averity
5.0","New York, NY",Business Services,New York,New York
219,"Senior Scientist, Computational Biology","Icahn School of Medicine at Mount Sinai
3.9","New York, NY",-1,New York,New York
220,Senior Data Scientist,"CyberCoders
4.2","New York, NY",Business Services,New York,New York
221,Data Engineer,"GNY Insurance Companies
3.7","New York, NY",Insurance,New York,New York
222,Sr Data Scientist,"Healthfirst (New York)
3.1","New York, NY",Insurance,New York,New York
223,Data Scientist,"Visiting Nurse Service of New York
3.8","New York, NY",Health Care,New York,New York
224,Data Visualization Engineer,"Point72
3.9","New York, NY",Finance,New York,New York
225,Quantitative Researcher - Alpha Capture,Kepler Fi,"New York, NY",-1,New York,New York
226,Research Scientist,"NYU Langone Health
4.1","New York, NY",Health Care,New York,New York
227,Principal Data Scientist,"Slice
3.8","New York, NY",Finance,New York,New York
228,Machine Learning Engineer,"Peloton Interactive
3.8","New York, NY",Consumer Services,New York,New York
